Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000007388,ALFARE,Fórmula hipoalergénica con proteína extensamente hidrolizada, hierro, DHA y GLA en polvo para lactantes,NESTLE
M0000007389,ALGI-B,Miorrelajante,GARMISCH
M0000007390,ALGIMIDE,Analgésico mayor, Antipirético,SIEGFRIED
M0000007391,ALGODON JGB,,JGB
M0000007392,ALIMTA,AntineoplásicoGrupo farmacoterapéutico: análogos del ácido fólico, código ATC: L01BA04,ELI LILLY
M0000007393,ALIVIOFTAL,Descongestivo oftalmológico,MK
M0000007394,ALIZAPRIDA HUMAX,Antiemético,HUMAX
M0000007395,ALLEGRA,Antihistamínico no sedante, Antagonista,SANOFI AVENTIS
M0000007396,ALLEGRA D,Antihistamínico no sedante, descongestionante nasal,SANOFI AVENTIS
M0000007397,ALLPAR,Antiparasitario,GIMED
M0000007398,ALMAX,Analgésico específico de vías urinarias bajas,NEVOX FARMA
M0000007399,ALONDRA,Tratamiento de endometriosis,GRÜNENTHAL
M0000007400,ALPHAGAN P,Antiglaucomatoso,ALLERGAN
M0000007401,ALPRAZOLAM,Ansiolítico,GENFAR
M0000007402,ALPROSTAPINT 20,Vasodilatador,BIOTOSCANA
M0000007403,ALPROSTAPINT 500,Vasodilatador,BIOTOSCANA
M0000007404,ALTHERA,Fórmula hipoalergénica con proteína extensamente hidrolizada, hierro y LC-PUFAs en polvo para lactantes,NESTLE
M0000007405,ALVEOFACT,Surfactante pulmonar,BIOTOSCANA
M0000007406,ALVESCO,Antiinflamatorio no esteroideo tópico para vías respiratorias,TAKEDA
M0000007407,ALZATEN,Antihipotensor, Vasopresor,BAGO
M0000007408,ALZIT 5MG, 10MG,Terapéutica del Alzheimer,PROCAPS
M0000007409,AMANTIX,Antiparkinsoniano,FARMA COLOMBIA
M0000007410,AMARYL,Hipoglucemiante oral,SANOFI AVENTIS
M0000007411,AMARYL M,Hipoglucemiante oral,SANOFI AVENTIS
