Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000009337,METFORMINA CLORHIDRATO,Hipoglucemiante oral,GENFAR
M0000009338,METFORMINA MK,Antidiabético biguanida,MK
M0000009339,METFORMINA PISA,Tratamiento de la diabetes mellitus tipo 2 recientemente diagnosticada, especialmente en pacientes con sobrepeso, cuando la dieta prescrita y el ejercicio por sí solos no sean suficientes para un control glucémico adecuado,PISA
M0000009340,METFORMINA/GLIBENCLAMIDA MK,Antidiabéticos biguanidas y sulfonilureas en combinación fija,MK
M0000009341,METGLITAL,Antidiabético oral,PROCAPS
M0000009342,METHERGIN,Oxitócico,NOVARTIS
M0000009343,METICOM,Elimina los gases gástricos e intestinales flatulencia, aerofagia y meteorismo,NEVOX FARMA
M0000009344,METICORTEN,Glucocorticoide,MSD
M0000009345,METILFENIDATO,Estimulante del sistema nervioso central,F N ESTUPEFAC.
M0000009346,METILPREDNISOLONA PISA,Terapia corticoesteroide,PISA
M0000009347,METILPREDNISOLONA-SUMITRIC,Corticosteroide,BLAU
M0000009348,METOCARBAMOL,Miorrelajante,RECIPE
M0000009349,METOCARBAMOL + IBUPROFENO,Analgésico, Relajante muscular,GENFAR
M0000009350,METOCARBAMOL LA SANTE,Relajante muscular,LA SANTE
M0000009351,METOCARBAMOL MK,Relajante muscular de acción central,MK
M0000009352,METOCLOPRAMIDA,Antiemético,RECIPE
M0000009353,METOCLOPRAMIDA,Antiemético, regulador de la función motora digestiva, antidopaminérgico,SICMAFARMA
M0000009354,METOCLOPRAMIDA,Antiemético, Procinético,GENFAR
M0000009355,METOCLOPRAMIDA CLORHIDRATO,Bloqueante dopaminérgico, Antiemético, Estimulante peristáltico,CARLON
M0000009356,METOCLOPRAMIDA INYECTABLE,Antiemético,ECAR
M0000009357,METOPROLOL,Antianginoso, Antiarrítmico, Antihipertensivo,GENFAR
M0000009358,METOPROLOL LA SANTE,Antihipertensivo, antiarrítmico,LA SANTE
M0000009359,METOPROLOL MK,Antihipertensivo, betabloqueador selectivo,MK
M0000009360,METOPROLOL TARTRATO,Antianginoso, Antiarrítmico, Antihipertensivo,GENFAR
M0000009361,METOTREXATO,Antineoplásico,BLAU
M0000009362,METRONIDAZOL,Amebicida, Giardicida, Tricomonicida,GENFAR
M0000009363,METRONIDAZOL,Amebicida, Tricomonicida, Giardicida,BEST
M0000009364,METRONIDAZOL,Amebicida, Giardicida, Tricomonicida,LABINCO
M0000009365,METRONIDAZOL + NISTATINA,Antibacteriano, Antifúngico,BLASKOV
M0000009366,METRONIDAZOL + NISTATINA MK,Tricomonicida, antimicótico,MK
M0000009367,METRONIDAZOL ECAR,Amebicida, Tricomonicida, Giardicida,ECAR
M0000009368,METRONIDAZOL LA SANTE,Antiprotozoario, antimicrobiano,LA SANTE
M0000009369,METRONIDAZOL MK,Antimicrobiano, antiprotozoario, derivado del nitroimidazol,MK
M0000009370,METRONIF,Amebicida, Antidiarreico, Giardicida,PROCAPS
M0000009371,METROSAL,Antibacteriano,MEREY
M0000009372,METROZIN,Amebicida, Giardicida, Tricomonicida, Anaerobicida,PROCAPS
M0000009373,METROZIN-NISTATINA,Tricomonicida, Bactericida, Antimicótico,PROCAPS
M0000009374,MIACALCIC AMPOLLAS,Tratamiento de la osteoporosis,NOVARTIS
M0000009375,MIACALCIC SPRAY,Tratamiento de la osteoporosis,NOVARTIS
M0000009376,MICARDIS,Tratamiento de la hipertensión esencial,BOEH.INGEL.
M0000009377,MICARDIS PLUS,Antihipertensivo,BOEH.INGEL.
M0000009378,MICOFENOLATO MOFETILO,Inmunosupresor,GENFAR
M0000009379,MICOFENTIN CREMA VAGINAL,Antimicótico y antibiótico de uso vaginal,NOVAMED
M0000009380,MICOFIX LOCION,Antimicótico,TECNOQUIMICAS
M0000009381,MICOSAN,Antimicótico, Fungicida,INCOBRA
M0000009382,MICOTOPIC,Antimicótico tópico, antibacteriano, antiinflamatorio,NOVAMED
M0000009383,MICROFEMIN,Anticonceptivo oral,GRÜNENTHAL
M0000009384,MICROFEMIN CD,Anticonceptivo oral,GRÜNENTHAL
M0000009385,MICROGYNON 30,Anticonceptivo hormonal,BHC - BAYER
M0000009386,MICROGYNON 30 CD,Anticonceptivo hormonal,BHC - BAYER
M0000009387,MICROGYNON SUAVE,Anticonceptivo oral combinado,BHC - BAYER
M0000009388,MICROLUT,Anticonceptivo con solo progestágeno,BHC - BAYER
M0000009389,MICUTEN 30,Antimicótico,VITALIS
M0000009390,MIDASEDAN,Sedante,BLASKOV
M0000009391,MIDAZOLAM,Benzodiazepina de acción hipnótica,SICMAFARMA
M0000009392,MIDAZOLAM,Hipnosedante,GENFAR
M0000009393,MIELTERTOS,Antitusivo - ExpectoranteFitoterapéutico,NATURAL FRESHLY
M0000009394,MIGRAGESIN,Antimigrañoso, agonista de los receptores 5-HT1D,SIEGFRIED
M0000009395,MIGRINON,Analgésico, Antijaquecoso,GENFAR
M0000009396,MIKIUM CREMA VAGINAL,Antimicótico, Bactericida, Tricomonicida de uso vaginal,NOVAMED
M0000009397,MILPAX,Antiácido, coadyuvante en el manejo del reflujo gastroesofágico,FARMA COLOMBIA
M0000009398,MILPAX PLUS,Antiácido,FARMA COLOMBIA
M0000009399,MILROX (MILRINONA) HUMAX,Cardiotónico,HUMAX
M0000009400,MIMPARA,Grupo farmacoterapéutico: homeostasis del calcio, agentes antiparatiroideos, Código ATC H05BX01,AMGEN
M0000009401,MINART,Tratamiento de la Hipertensión,MERCK S.A.
M0000009402,MINART PLUS,Tratamiento de la Hipertensión,MERCK S.A.
M0000009403,MINAZOL,Antibiótico citostático, anticanceroso, inhibidor de la síntesis de ADN,NOVAMED
M0000009404,MINERGOT,Analgésico,GRUINFACOL
M0000009405,MINESSE TABLETAS,Anticonceptivo oral,PFIZER
M0000009406,MINIPIL SUAVE,Anticonceptivo oral combinado de dosis baja,ABBOTT
M0000009407,MINOCICLINA,Antibiótico de amplio espectro,GENFAR
M0000009408,MINOGRAN,Antibiótico,EUROETIKA
M0000009409,MINOXIDIL,Antihipertensivo,LABINCO
M0000009410,MINOXIDIL MK,Vasodilatador periférico,MK
M0000009411,MINULET 21 GRAGEAS,Prevención del embarazo,PFIZER
M0000009412,MIODAR,Analgésico, Antiinflamatorio,GARMISCH
M0000009413,MIOFLEX,Relajante muscular,LABINCO
M0000009414,MIOLAXIN,Analgésico, Relajante muscular,ABBOTT
M0000009415,MIRAPEX,Antiparkinsoniano,BOEH.INGEL.
M0000009416,MIRENA,Sistema intrauterino de liberación,BHC - BAYER
M0000009417,MIRTAPAX,Antidepresivo,TECNOFARMA
M0000009418,MIRTAZAPINA,Antidepresivo,GENFAR
M0000009419,MITRUL,Relajante muscular esquelético,TECNOFARMA
M0000009420,MIXANDEX (MITOMICINA) PISA,Tratamiento paliativo de adenocarcinoma gástrico, pancreático y colorrectal, carcinoma de la célula hepática,PISA
M0000009421,MIXEL,Antiparasitario de amplio espectro,SIEGFRIED
M0000009422,MIXOFTAL,Corticosteroide y antibiótico en combinación,MK VISION
M0000009423,MIZOLAM (MIDAZOLAM) HUMAX,Anestésico inductor,HUMAX
M0000009424,MOBIC,Antiinflamatorio,BOEH.INGEL.
M0000009425,MODIUR,Ansiolítico, Tranquilizante, Neuroléptico,BAGO
M0000009426,MODUALZ,Coadyuvante en el tratamiento de trastornos degenerativos del adulto mayor, Modulador del glutamato,TECNOQUIMICAS
M0000009427,MODULEX,Activador de los canales de cloro tipo 2,PROCAPS
M0000009428,MODURETIC,Antihipertensivo, Diurético,MSD
M0000009429,MOFLOXIN,Antibacteriano sistémico,ABBOTT
M0000009430,MOL-IRON,Antianémico,MSD
M0000009431,MOLGRAMOSTIM - LEUCOCITIM,Inductor de leucocitos,BLAU
M0000009432,MOLTOBEN,Antidepresivo, inhibidor de la recaptación de serotonina,BUSSIE
M0000009433,MOMET Q CREMA, MOMET Q LOCION,Corticoide de Uso Tópico,GALENO QUIMICA
M0000009434,MOMETASONA,Corticosteroide tópico,GENFAR
M0000009435,MOMETASONA CREMA 0,1% LA SANTE,Corticosteroide tópico,LA SANTE
M0000009436,MOMETASONA FUROATO,Corticosteroide tópico,GENFAR
M0000009437,MOMETASONA FUROATO MK,Corticosteroide tópico,MK
M0000009438,MOMETASONA LOCION 0,1% LA SANTE,Corticosteroide tópico,LA SANTE
M0000009439,MOMETASYN,Corticosteroide tópico,ABBOTT
M0000009440,MOMETASYN FREE,Agentes contra padecimientos obstructivos de las vías respiratorias,ABBOTT
M0000009441,MONIS,Antianginoso,BOEH.INGEL.
M0000009442,MONODERMA A15,Dermatocosmético,MEDIVELIUS
M0000009443,MONODERMA C10,Dermatocosmético,MEDIVELIUS
M0000009444,MONODERMA E5,Dermatocosmético,MEDIVELIUS
M0000009445,MONOPRIL,Inhibidor de la ECA,MERCK S.A.
M0000009446,MONOVEL,Corticosteroide tópico,MSD
M0000009447,MONTELUKAST,Antiasmático, Antileucotrieno,GENFAR
M0000009448,MONTELUKAST LA SANTE,Antagonista selectivo del receptor de leucotrienos,LA SANTE
M0000009449,MONTELUKAST MK,Antagonista del receptor de leucotrienos,MK
M0000009450,MONURIL 3G,Antibiótico urinario,ZAMBON
M0000009451,MOPERID,Antiemético, antirreflujo,SIEGFRIED
M0000009452,MOPSALEM,Pigmentador cutáneo, antipsoriásico,SIEGFRIED
M0000009453,MORFINA CLORHIDRATO,Analgésico opiáceo,F N ESTUPEFAC.
M0000009454,MOSAMET,Proquinético gastrointestinal,SIEGFRIED
M0000009455,MOTRIN,Analgésico, Antiinflamatorio no esteroide,PFIZER
M0000009456,MOVIDOL,Analgésico, Antipirético,ABBOTT
M0000009457,MOVIFLEX-MSM,Tratamiento coadyuvante de la osteoartritis,ABBOTT
M0000009458,MOVILAX,Polietilenglicol+electrolitos, Laxante osmótico para el manejo del estreñimiento,LEGRAND
M0000009459,MOVIPROST,Tratamiento del estreñimiento crónico,TECNOQUIMICAS
M0000009460,MOXAR,Procinético,BUSSIE
M0000009461,MOXAR SI 5/125,Procinético, antiflatulento,BUSSIE
M0000009462,MOXETIN,Antidepresivo,PROCAPS
M0000009463,MOXFLODEL GOTAS OFTALMICAS,Antibacteriano oftálmico,DELTA
M0000009464,MOXIFLOXACINA LA SANTE,Antibiótico,LA SANTE
M0000009465,MOXIFLOXACINA MK,Antibiótico sistémico, fluoroquinolona,MK
M0000009466,MOXIFLOXACINO OFTALMICO LA SANTE,Antibiótico oftálmico,LA SANTE
M0000009467,MOXIPHARM 0.5% SOLUCION OFTALMICA,Antibiótico,OPHARM
M0000009468,MOXIS,Antibacteriano de amplio espectro,GENFAR
M0000009469,MUCOMED TOS JARABE,Expectorante, Mucolítico,KEVIPHARMA
M0000009470,MUCOSAR,Expectorante Natural,PRONABELL
M0000009471,MUCOSOLVAN,Mucolítico,BOEH.INGEL.
M0000009472,MUCOSOLVAN COMPOSITUM,Mucolítico, Broncodilatador,BOEH.INGEL.
M0000009473,MULTIDOL,Analgésico, Antiinflamatorio, Antipirético,CHALVER
M0000009474,MULTIDOL 400MG EXPRESS Y 800MG,Analgésico, Antipirético,CHALVER
M0000009475,MULTIVEX,Antibacteriano vaginal, Antimicótico vaginal,GRUINFACOL
M0000009476,MULTIVIT MAYORES,Multivitamínico para adultos,PROCAPS
M0000009477,MUPIRAL 2%,Antibiótico tópico,DERMAPLUS
M0000009478,MUROTIL,Antiespasmódico,FARMASER
M0000009479,MUTUM CR,Tratamiento de la incontinencia urinaria de urgencia y mixta,TECNOFARMA
M0000009480,MUVETT 200/300 RETARD/INYECTABLE,Regulador de la motilidad intestinal,PROCAPS
M0000009481,MUVETT FLORA,Antiespasmódico, Trat, del síndrome de intestino irritable,PROCAPS
M0000009482,MUVETT SUSPENSION,Normalizador de la motricidad digestiva,PROCAPS
M0000009483,MUVETT-S,Regulador de la motilidad intestinal, Antiespasmódico, Antiflatulento,PROCAPS
M0000009484,MUXOL,Mucolítico expectorante, broncodilatador,NOVAMED
M0000009485,MUXOL FLEM,Mucolítico, Expectorante,NOVAMED
M0000009486,MYDRIACYL,Midriático ciclopéjico,ALCON
M0000009487,MYFORTIC,Inmunosupresor,NOVARTIS
M0000009488,MYOS-NOR,Miorrelajante,BEST
M0000009489,MYOS-NOR F,Miorrelajante de acción central y analgésico antiinflamatorio, Espasmos dolorosos músculo-esqueléticos,BEST
M0000009490,N-ACETILCISTEINA MK,Mucolítico,MK
M0000009491,N-BUTIL BROMURO HIOSCINA,Anticolinégico,RECIPE
M0000009492,NABILA,Antihipertensivo,TECNOFARMA
M0000009493,NABUMEX,Inhalador,CHALVER
M0000009494,NADIXA 1%,Tratamiento cutáneo del acné vulgaris,ELIMERA
M0000009495,NAFAZOL,Vasoconstrictor nasal,INCOBRA
M0000009496,NAFAZOL PEDIATRICO,Vasoconstrictor nasal,INCOBRA
M0000009497,NAN AR,Fórmula láctea en polvo con proteína parcialmente hidrolizada y probióticos para lactantes,NESTLE
M0000009498,NAN COMFORT,Fórmula láctea en polvo con proteínas parcialmente hidrolizadas y hierro para lactantes,NESTLE
M0000009499,NAN FORTIFICADOR DE LECHE MATERNA,Fortificador de la Leche materna,NESTLE
M0000009500,NAN HA 1 PROTECT START,Fórmula láctea de inicio en polvo con Proteínas Hidrolizadas, Probióticos y LC-PUFAs para lactantes,NESTLE
M0000009501,NAN HA 2 PROTECT PLUS,Fórmula láctea de continuación en polvo con Proteínas Hidrolizadas, Hierro, Probióticos y LC- PUFAs para lactantes,NESTLE
M0000009502,NAN PREMATUROS LIQUIDA-USO HOSPITALARIO,Fórmula líquida con Ácidos Grasos poliinsaturados de cadena larga para lactantes de bajo peso al nacer,NESTLE
M0000009503,NAN PREMATUROS POLVO,Fórmula para lactantes de bajo peso al nacer, con ácidos grasos poliinsaturados de cadena larga (LC PUFA) y Probióticos,NESTLE
M0000009504,NAN PRO 1 CON PROBIOTICOS,Fórmula láctea en polvo con hierro y probióticos para lactantes,NESTLE
M0000009505,NAN PRO 2 CON PROBIOTICOS,Fórmula láctea en polvo con hierro y probióticos para lactantes a partir del 6 mes,NESTLE
M0000009506,NAN PRO 3,Fórmula láctea de continuación en polvo con hierro y probióticos,NESTLE
M0000009507,NAN SIN LACTOSA,Fórmula infantil exenta de lactosa con ácidos grasos poliinsaturados de cadena larga (DHA/ARA),NESTLE
M0000009508,NAPHCON F,Descongestionante,ALCON
M0000009509,NAPROFLASH,Analgésico, antipirético,NOVAMED
M0000009510,NAPROX,Analgésico, Antiinflamatorio no esteroide,LABINCO
M0000009511,NAPROXENO,Antiinflamatorio no esteroide, analgésico, antipirético,BEST
M0000009512,NAPROXENO,Analgésico, Antiinflamatorio,GENFAR
M0000009513,NAPROXENO LA SANTE,Analgésico, antiinflamatorio no esteroideo,LA SANTE
M0000009514,NAPROXENO MK,Analgésico, antiinflamatorio no esteroide,MK
M0000009515,NAPROXENO SODICO,Analgésico, Antiinflamatorio, Antipirético,RECIPE
M0000009516,NAPROXENO SODICO MK,Analgésico, antiinflamatorio no esteroide,MK
M0000009517,NAPROZOL,Analgésico, antipirético, inhibidor de bomba de protones,NOVAMED
M0000009518,NARAMIG,Antimigrañoso,GLAXOSMITHKLINE
M0000009519,NASACORT AQ,Tratamiento sintomático de la rinitis alérgica,SANOFI AVENTIS
M0000009520,NASMINE NF,Antialérgico, Antitusivo, Broncodilatador,BEST
M0000009521,NASOBLAS,Antiinflamatorio tópico nasal,BLASKOV
M0000009522,NASONEX,Corticosteroide tópico,MSD
M0000009523,NATACYN,Coadyuvante en el tratamiento de blefaritis, conjuntivitis y queratitis,ALCON
M0000009524,NATELE EASYGELS,Suplemento multivitamínico y mineral,BHC - BAYER
M0000009525,NATURET,Laxante,SANOFI AVENTIS
M0000009526,NAZOTRAL 4%,Antialérgico,BEST
M0000009527,NAZOTRAL NASAL,Antialérgico,BEST
M0000009528,NAZOTRAL OFTALMICO,Antialérgico,BEST
M0000009529,NEBIDO,Andrógeno de depósito,BHC - BAYER
M0000009530,NECLOBET,Antibacteriano, Antiinflamatorio, Antimicótico,PROFMA
M0000009531,NECROTON,Hepatoterápico,INCOBRA
M0000009532,NECROXIL,Disfunción hepática por alcohol,INCOBRA
M0000009533,NEDOX 10MG,Antiulceroso,ABBOTT
M0000009534,NEDOX LAFRANCOL,Antiulceroso,ABBOTT
M0000009535,NELIND,Antipañalítico, protector cutáneo,COASPHARMA
M0000009536,NEMIMED JARABE,Multivitamínico,AMERICA
M0000009537,NENE DENT,Calmante durante la dentición infantil,MERCK S.A.
M0000009538,NEOGRAM,Penicilinas de Amplio Espectro,LEGRAND
M0000009539,NEOGYNON,Anticonceptivo hormonal,BHC - BAYER
M0000009540,NEOGYNON CD,Anticonceptivo hormonal,BHC - BAYER
M0000009541,NEORETIN GELCREM SPF 50,Despigmentante,MEDIVELIUS
M0000009542,NEORETIN SUERO,Despigmentante,MEDIVELIUS
M0000009543,NEOSALDINA,Analgésico, antiespasmódico diversos tipos de dolor de cabeza o dolor tipo cólico,TAKEDA
M0000009544,NEOSTIGMINA METILSULFATO,Antimiasténico, colinérgico inhibidor de la colinesterasa,CARLON
M0000009545,NEOSTIGMINA METILSULFATO,Colinérgico, anticolinesterásico, antimiasténico,SICMAFARMA
M0000009546,NEOVITRUM MAS BETACAROTENO,Suplemento multivitamínico con minerales,SERES
M0000009547,NERVIX,Neuroléptico, Antipsicótico,BAGO
M0000009548,NESTOGENO 1,Fórmula láctea de inicio en polvo con probióticos para lactantes,NESTLE
M0000009549,NESTOGENO 2,Fórmula láctea de continuación en polvo con probióticos para lactantes,NESTLE
M0000009550,NEUGERON,Anticonvulsivante, Enfermedad maniaco-depresiva, Neuralgia del trigémino,BAGO
M0000009551,NEULASTIM,Factor de crecimiento hematopoyético,AMGEN
M0000009552,NEUMEGA,Factor de crecimiento hematopoyético,PFIZER
M0000009553,NEUMOLEX,Antitusígeno, Broncodilatador, Antihistamínico, Antialérgico,NOVAMED
M0000009554,NEUPOGEN,Factor de crecimiento hematopoyético,AMGEN
M0000009555,NEURACTIN,Antiepiléptico, anticonvulsivo,ABBOTT
M0000009556,NEURO RANDE,Antineurítico,RANDE
M0000009557,NEURO-15,Suplemento multivitamínico con hierro y calcio,INCOBRA
M0000009558,NEURO-15 FOSFORO NF-FOSFOLIPIDOS DE SOYA,Suplemento dietario,INCOBRA
M0000009559,NEUROBASAL 800 Y 1200 MG,Optimiza el metabolismo cerebral y asegura la mejor utilización de glucosa y oxígeno a nivel neuronal,INCOBRA
M0000009560,NEUROBION,Antineurítico,MERCK S.A.
M0000009561,NEUROBION 10.000 DOBLE CAMARA,Antineurítico,MERCK S.A.
M0000009562,NEUROLIFE,Suplemento dietario a base de polifenoles, enriquecido con Hierro, vitaminas y minerales,PRONABELL
M0000009563,NEURONOX,Bloqueante neuromuscular,HUMAX
M0000009564,NEURONTIN,Anticonvulsivo,PFIZER
M0000009565,NEUROPRON 10.000,Antineurítico,CHALVER
M0000009566,NEVANAC,Tratamiento de los cuadros de dolor e inflamación relacionados con las cirugías de cataratas,ALCON
M0000009567,NEVIRAPINA 200MG,Inhibidores de la Transcriptasa Reversa no Nucleósidos,LEGRAND
M0000009568,NEVIRAPINA HUMAX,Antirretroviral,HUMAX
M0000009569,NEVIRAPINA SUSPENSION,Antirretroviral,LEGRAND
M0000009570,NEVITEN,Antihipertensivo,GARMISCH
M0000009571,NEVIVIR,Inhibidores de la transcriptasa inversa no nucleósidos,NOVAMED
M0000009572,NEXAVAR,Antitumoral,BHC - BAYER
M0000009573,NIALGIN,Miorrelajante muscular, Antiinflamatorio,FARMASER
M0000009574,NIBOTEN,Complemento nutricional,COASPHARMA
M0000009575,NICOBLOC 99,Bloquea el alquitrán y la nicotina en cigarrillos con filtro,DATA PHARM.
M0000009576,NIDOLON,Rápido control del dolor agudo,EURODRUG
M0000009577,NIDOLON GEL,Antiinflamatorio tópico,EURODRUG
M0000009578,NIFEDIPINO,Antianginoso, Antihipertensivo,GENFAR
M0000009579,NIFLAMIN PL,Antiinflamatorio,BOEH.INGEL.
M0000009580,NIMEPIS (NIMESULIDA) PISA,Antiinflamatorio no esteroide,PISA
M0000009581,NIMESULIDA LA SANTE,Analgésico, antiinflamatorio no esteroideo,LA SANTE
M0000009582,NIMESULIDA MK,Antiinflamatorio no esteroideo,MK
M0000009583,NIMODIPINO MK,Calcioantagonista dihidropiridínico,MK
M0000009584,NIMOTOP,Vasodilatador cerebral, Cerebroprotector,BHC - BAYER
M0000009585,NISOM,Vasodilatador cerebral,SIEGFRIED
M0000009586,NISTATINA,Antimicótico,LABINCO
M0000009587,NITAZOFIN,Antiparasitario,BUSSIE
M0000009588,NITAZOXANIDA,Antiparasitario,GENFAR
M0000009589,NITAZOXANIDA LA SANTE,Antiprotozoario,LA SANTE
M0000009590,NITAZOXANIDA MK,Antiparasitario,MK
M0000009591,NITROFURANTOINA,Bactericida,CARLON
M0000009592,NITROFURANTOINA,Antibacteriano, Antiséptico urinario,RECIPE
M0000009593,NITROFURANTOINA MK,Antibiótico sistémico,MK
M0000009594,NITROGLICERINA,Vasodilatador coronario, antianginoso,SICMAFARMA
M0000009595,NITROPRUSIATO DE SODIO ECAR,Hipotensor intravenoso, crisis hipertensiva,ECAR
M0000009596,NIVECOL,Hipocolesterolemiante,GARMISCH
M0000009597,NIXODERM,Queratolítico, Antimicótico tópico,COSQUIM
M0000009598,NIZORAL,Antimicótico tópico,JANSSEN-CILAG
M0000009599,NIZOX,Antiparasitario,GARMISCH
M0000009600,NOCARB,Suplemento alimentario,ABBOTT
M0000009601,NOCTABEL,Insomnio, Sedante Suave,GIMED
M0000009602,NODESCRON (BROMURO DE VECURONIO) PISA,Relajante muscular en anestesia general, para facilitar la intubación endotraqueal y en la terapia electroconvulsiva,PISA
M0000009603,NODIAR SUSPENSION,Antiséptico intestinal,BAGO
M0000009604,NODIK,Antiprotozoario de amplio espectro,GRUPO UNIPHARM
M0000009605,NODIT,Inhibidores de la agregación plaquetaria,LEGRAND
M0000009606,NOFERTYL,Anticonceptivo hormonal inyectable,ABBOTT
M0000009607,NOGINOX,Antimicótico vaginal,GALENO QUIMICA
M0000009608,NOMANTE JARABE,Mucolítico, Expectorante,CARIBE
M0000009609,NOMANTE PASTILLA,Refresca y despeja la garganta,CARIBE
M0000009610,NOPTER,Repelente de insectos,SIEGFRIED
M0000009611,NORAFLOX,Antibacteriano de amplio espectro,BEST
M0000009612,NORAVER BEBIDA CALIENTE,Analgésico y antipirético, antihistamínico, descongestionante nasal,TECNOQUIMICAS
M0000009613,NORAVER G CONTRA SINTOMAS DE LA GRIPA,Analgésico y antipirético, antihistamínico, descongestionante nasal,TECNOQUIMICAS
M0000009614,NORAVER G FAST TOTAL,Asociaciones contra los síntomas del resfriado,TECNOQUIMICAS
M0000009615,NORAVER GARGANTA SOL SPRAY Y COLUTORIO,Antiséptico y anestésico bucofaríngeo,TECNOQUIMICAS
M0000009616,NORAVER GARGANTA TAB DISOLUCION BUCAL,Antiséptico y anestésico bucofaríngeo,TECNOQUIMICAS
M0000009617,NORAVER TOS ADULTOS JARABE,Mucolítico, expectorante,TECNOQUIMICAS
M0000009618,NORAVER TOS NIÑOS JARABE,Mucolítico, expectorante,TECNOQUIMICAS
M0000009619,NORCURON,Bloqueante neuromuscular,MSD
M0000009620,NORDETTE,Prevención del embarazo,PFIZER
M0000009621,NORDITROPIN NORDILET,Somatotrófico,NOVO NORDISK
M0000009622,NORFLOXACINA MK,Antibiótico sistémico Fluoroquinolona,MK
M0000009623,NORFLOXACINO,Antibacteriano,GENFAR
M0000009624,NORFORMS,Espermicida, Anticonceptivo,BOEH.INGEL.
M0000009625,NORIGRAN,Antimicrobiano,GRUINFACOL
M0000009626,NORIGYNON,Preparado de depósito para la anticoncepción hormonal,BHC - BAYER
M0000009627,NORINPEP,Antiemético, Gastrocinético,BLASKOV
M0000009628,NORMOLIP,Normolipemiante,ABBOTT
M0000009629,NORMOLIP NF,Normolipemiante,ABBOTT
M0000009630,NORTRICOL,Normolipemiante,SIEGFRIED
M0000009631,NORVAS,Antihipertensivo,PFIZER
M0000009632,NORVETAL,Anticonceptivo oral,ABBOTT
M0000009633,NORVIR,Agente antirretroviral,ABBVIE
M0000009634,NOVADROX OD,Cefalosporinas de primera generación,LEGRAND
M0000009635,NOVALGINA,Analgésico, Antipirético,SANOFI AVENTIS
M0000009636,NOVAZINC,Suplemento de Zinc,HUMAX
M0000009637,NOVELDEXIS (CISPLATINO) PISA,Coadyuvante en el tratamiento de tumores testiculares y tumores metastásicos de ovario, melanoma maligno y osteosarcoma,PISA
M0000009638,NOVOLIN N,Antidiabético,NOVO NORDISK
M0000009639,NOVOLIN R,Antidiabético,NOVO NORDISK
M0000009640,NOVOMIX 30 FLEX PEN,Antidiabético,NOVO NORDISK
M0000009641,NOVORAPID FLEX PEN,Antidiabético,NOVO NORDISK
M0000009642,NOVOSEVEN RT,Factor VII de la coagulación,NOVO NORDISK
M0000009643,NOVUTRAX (CITARABINA) PISA,Mantenimiento y remisión de la leucemia mielocítica aguda de niños y adultos, Útil en el tratamiento de otras leucemias tales como leucemia linfocítica aguda, leucemia mielocítica crónica y eritroleucemia,PISA
M0000009644,NOXAFIL,Antimicótico,MSD
M0000009645,NOXPIRIN,Medicamento para el manejo de los síntomas del resfriado común,SIEGFRIED
M0000009646,NOXPIRIN F JUNIOR GRIPA,Medicamento para el manejo de los síntomas del resfriado común,SIEGFRIED
M0000009647,NPLATE,Antihemorrágico,AMGEN
M0000009648,NULOX TABLETAS ORODISOPERSABLES,Innovación para el control del dolor crónico,EURODRUG
M0000009649,NULYTELY,Lavado gastrointestinal sabor cereza,TECNOFARMA
M0000009650,NUTRAMIGEN PREMIUM,Para lactantes de 0 a 12 meses de edad,MEAD JOHNSON
M0000009651,NUTRI G,Suplemento alimenticio para adultos, Suplemento dietario,GALENO QUIMICA
M0000009652,NUTRIBEN AC,Fórmula láctea en polvo para lactantes para una fácil digestión,NOVAMED
M0000009653,NUTRIBEN AE1,Fórmula láctea de inicio con hierro para lactantes de 0-6 meses de edad,NOVAMED
M0000009654,NUTRIBEN AE2,Fórmula láctea de continuación con hierro para lactantes,NOVAMED
M0000009655,NUTRIBEN AR,Fórmula láctea en polvo con hierro para lactantes con reflujo leve a moderado,NOVAMED
M0000009656,NUTRIBEN CONTINUACION,Fórmula láctea de continuación para lactantes, con hierro, nucleótidos, vitaminas, minerales y colina,NOVAMED
M0000009657,NUTRIBEN CRECIMIENTO,Fórmula láctea de crecimiento en polvo con hierro,NOVAMED
M0000009658,NUTRIBEN HIDROLIZADA 1,Fórmula láctea en polvo con proteína hidrolizada para lactantes,NOVAMED
M0000009659,NUTRIBEN HIDROLIZADA 2,Fórmula láctea en polvo con proteína hidrolizada para lactantes a partir del 6 mes,NOVAMED
M0000009660,NUTRIBEN NATAL,Fórmula láctea de inicio para lactantes de 0 a 6 meses, con hierro, nucleótidos, prebióticos, ácidos grasos poliinsaturados de cadena larga, vitaminas, minerales y colina,NOVAMED
M0000009661,NUTRIBEN SIMBIOTIC,Fórmula láctea de continuación en polvo con probióticos y prebióticos para lactantes,NOVAMED
M0000009662,NUTRIPRIM ZB,Multivitamínico con calcio, hierro y zinc,SERES
M0000009663,NUVARING,Anticonceptivo de uso vaginal,MSD
M0000009664,NYTAX,Antidiarreico,PROCAPS
M0000009665,OBAX (CLOBAZAM),Ansiolítico,HUMAX
M0000009666,OBEDOZOL,Antihelmíntico de amplio espectro,SERES
M0000009667,OBELID,Regulador del metabolismo glucolipídico,BAWISS
M0000009668,OBNARIN,Antibiótico,APOTECARIUM
M0000009669,OCAM,Analgésico, antiinflamatorio no esteroideo,GALENO QUIMICA
M0000009670,OCAM GEL,Antiinflamatorio no esteroide,GALENO QUIMICA
