codigo_medicamento,nombre_medicamento,grupo_medicamento
D060076,Presiderm 2% Unguento Tópico Tubo x 15g (Mupirocina) (Drog),D06
M030074,Paralgen Max 8mg/600mg caja x 10 Tabletas (Tiocolchicosido/Ibuprofeno)(FP),M03
AW30463,Heliocare Gel - Crema LIGHT SPF 50 Pote x 50 mL (FP),AW3
AW30465,Base De Maquillaje Vogue Mate Natural NATURAL Frasxo x 30g (FP),AW3
AW30466,Base De Maquillaje Vogue Mate Natural BRONCE Frasxo x 30g (FP),AW3
AW30467,Base De Maquillaje Vogue Mate Natural CANELA Frasxo x 30g (FP),AW3
AW40292,Neutrogena Sun Fresh Crema FPS 70 Pote x 120mL (FP),AW4
BE20160,Rodillera Bisagrada Talla M Ref- 843500615042 Tecnomed (Drog),BE2
A100098,Jardiance 25mg Caja x 30 Tabletas Recubiertas (Empagliflozina) (RG) (FP),A10
AW60955,Kit Dental Baby Dentoline Estuche x 4 Productos (FP),AW6
AW60956,Kit Ortodoncia Adulto Dentoline Económico (FP),AW6
AW60957,Kit De Higiene Oral Viajero Adulto Dentoline (FP),AW6
AW30468,Procikel SPF 30 Gel Tópico Tubo x 30g (Gel para cicatrices) (Drog),AW3
S010325,Lagrimas Artificiales 5mg/mL (0.5%) Solucion Oftalmica Frasco x 15mL (Carboximetilce)Vitalvis (Dro,S01
A070106,Gigi 12 Caja x 15 Capsulas (Probióticos) (FP),A07
AW30497,Mascarilla Capilar Coloursafe Cabellos Rubios Pote x 300mL (FP),AW3
AW30499,Base De Maquillaje Vogue Mate Natural TRIGO Frasxo x 30mL (FP),AW3
AW60970,Lactovit Gel De Baño Lactourea Reparador Pote x 600mL (FP),AW6
D060072,Rozex 0.75% Gel Tubo x 30 g (Metronidazol) (FP),D06
AW30455,Bronceador Nude Gel SPF 4 Sobre x 20 mL (FP),AW3
BA30174,Duoderm Extra thin 15x15 cm Ref-187957 (Drog),BA3
N020221,Tramal Long 50mg Tableta Liberacion Prolongada (Tramadol)  (Institucional Drog),N02
N030160,Legabin 300 mg Capsula (pregabalina) [RG]  (Institucional Drog),N03
G030146,Cerazette 0.075mg Caja x 28 Tabletas Recubiertas ( (Desogestrel) (FP) [RG],G03
AW60933,Cepillo Vitis Encias (FP),AW6
AW60934,Desodorante Balance Invisible Sin Manchas MEN Aerosol x 160mL (FP),AW6
AW40275,Lubriderm Etapa Prevencion FPS 30 Pote x 400mL (FP),AW4
A060086,Nulytely [3350] con electro (105/5.1)g Polvo Sobrex110.1g (Polietilenglicol ) (Instit Drog),A06
AW30423,Esmalte Masglo x 13.5mL Color Novia (FP),AW3
AW30424,Esmalte Masglo x 13.5mL Color Brillo Ajedrez (FP),AW3
AW30425,Esmalte Masglo x 13.5mL Color Virginal (FP),AW3
AW30426,Esmalte Masglo x 13.5mL Color Nieve (FP),AW3
AW30427,Esmalte Masglo x 13.5mL Color Matrimonio (FP),AW3
AW30428,Esmalte Masglo x 13.5mL Color Soltera (FP),AW3
AW30429,Esmalte Masglo x 13.5mL Color Golosa (FP),AW3
AW30430,Esmalte Masglo x 13.5mL Color Linda (FP),AW3
AW30431,Esmalte Masglo x 13.5mL Color Regia (FP),AW3
AW30432,Esmalte Masglo x 13.5mL Color Arcoiris (FP),AW3
AW30433,Esmalte Masglo x 13.5mL Color Sangre Toro (FP),AW3
AW30434,Esmalte Masglo x 13.5mL Color Tiza (FP),AW3
AW30435,Esmalte Masglo x 13.5mL Color Mimada (FP),AW3
AW30436,Brillo Gel Transparente Para Uñas Masglo x 13.5mL (FP),AW3
AW30437,Esmalte Masglo x 13.5mL Color Diva (FP),AW3
BE10295,Media Antiembolica TVP Al Muslo Larga 15-20mmHg Blanca Novarix Ref- 10109855 (Drog),BE1
BE10296,Media Antiembolica TVP Al Muslo XL Extralarga 15-20mmHg Blanca Novarix Ref- 10109856  (FP),BE1
BE10297,Media Antiembolica TVP Hasta La Rodilla Larga 15-20mmhg Blanca No-varix Ref- 10109755 (FS),BE1
D060073,Sulfadiazina de Plata 1% Crema Tubo x 30 gr Genfar (institucional Drog),D06
BE30168,Cabestrillo Sencillo Adulto Negro Ref. KM2000N Kamex (Drog),BE3
D040020,Procicar 5%/5% Crema Tubo x 60 gr (Oxido de Zinc/Calamina) (Institucional Drog),D04
M010281,Meloxicam 7.5 mg Tableta (La Sante) (Instucional Drog),M01
N030156,Kaptin 400 mg Capsula (Gabapentin) [RG] (Institucional Drog),N03
N070043,Verum 8 mg Tableta (betahistina) (Institucional Drog),N07
AW30408,Polvo Compacto Vogue Mate Natural ACEITUNA x 14g (FP),AW3
AW30420,Corrector Con Filtro Solar Vogue Barra x 4.5g NATURAL (FP),AW3
AW60919,Champu Head & Shoulders Limpieza Renovadora Pote x 375mL (FP),AW6
A120083,Z-Bec ADVANCE Caja x 30 Tabletas (Suplemento multivitaminico con minerales) (FP),A12
A120084,Colageno Hidrolizado 3716mg + Biotina 0.25mg Frasco x 60 Casulas Botanitas (FP),A12
H020106,Diprofos (5 mg/2 mg)/1 mL Suspension Inyectable Ampolla (Betametasona dipro+fosfato disodi)(Inst Dro,H02
J010435,Cefalexina 500 mg Cápsula (Genfar) (Institucional Drog),J01
N020219,Robaxifen NF 325 mg/400 mg Tableta  (Acetaminofen/Metocarbamol) (Drog),N02
N050164,Levomepromazina 40 mg/mL Solucion Oral Frasco x 20 mL (humax) (Institucional Drog),N05
AW60922,Crema Dental Colgate Luminous White Brilliant Tubo x 125mL (FP),AW6
AW60923,Crema Dental Colgate Luminous White Brilliant Tubo x 50 mL (FP),AW6
AW60924,Fisiomax Lubricante Intimo gel Sobre x 5g (FP),AW6
R050115,Flutox 354mg/100mL Suspension Frasco x 120mL (Cloperastina) (FP),R05
AW30448,Tijera Facial Punta Redonda FStyle Ref 14IIB (FP),AW3
AW30449,Depilador  Metalico  NC-22S1 FStyle (FP),AW3
AW40273,Neutrogena Hydro Boost Water Gel Proteccion Solar FPS 25Pote x 55g (FP),AW4
AW40274,Neutrogena Hydro Boost Water Gel Pote x 50g (Acido Hialuronico) (FP),AW4
BH20141,Wescohex 4% Jabón Bolsa x 30 mL (Clorhexidina) [VMR] (FP),BH2
BH20142,Wescohex 2.3% Solución Bolsa x 120 mL (Clorhexidina) [VMR] (FP),BH2
A030177,Hioscina N-Butil Bromuro 20mg/1mL Solucion Inyectable Ampolla IM/IV Vitalis (FP),A03
A030178,Hioscina Butilbromuro/Dipirona 20 mg/2.5 g Solucion Inyectable Ampolla x 5mL Vitalis (FP),A03
BE10305,Media Pantalon 15-20  Transparente Negra Dama Talla M  No-varix Ref- 10106413 (Drog),BE1
AW30482,Esmalte Masglo x 13.5mL Color Famosa (FP),AW3
AQ21109,Lector de Codigo de Barras Empotrable Honeywell MK7625,AQ2
AW30501,Crema Pond´S Clarant B3 Pote x 50g (piel Normal a Grasa) (FP),AW3
M050030,Ibandronato De Sodio 150mg Caja x 1 Tableta Recubierta M.K (FP),M05
AW30502,Laca Kleer Lac  Naranja (Fuerte) Cojin x 150mL Recamier (FP),AW3
AW30503,Laca Kleer Lac Morada (Suave) Atomizador Pote x 150mL Recamier (FP),AW3
BE10301,Codo De Tenista talla L/XL Kamex Ref- 18321N (Drog),BE1
BE30188,Ortesis Estatica Miembro Superior Adulto A Medida  (O.T) (Institucional Drog),BE3
R030165,B-Cort 200mcg/Dosis Aerosol Para Inhalacion Oral Frasco x 6mL 120 dosis (budesonida)(FP),R03
G030148,Nuvaring Anillo Vaginal 11.27/2.7mg Caja x 1 (Etonogestrel/Etinilestradiol) * (FP),G03
N060185,Escitalopram 20 mg Blister x 10 Tabletas Genfar (FP),N06
BE10314,Media Gradiente Hombre 8-15 mmhg Talla-L Negra Novarix Ref-10105915 (Drog),BE1
J010452,Clindamicina 300mg Capsula Genfar  (institucional Drog),J01
AW60944,Champu Head & Shoulders Purificacion Capilar Carbon Activo Pote x 180 ml (FP),AW6
V060339,Nutrigel Advance MANDARINA  Caja x 30 Sobres (Colageno/vitamina C/Vitamina D3) (FP),V06
A100099,Trayenta Duo 2.5 mg/1000 mg Caja x 60 Comprimidos Recubiertos (Linagliptina/Metformin)  [RG] (FP,A10
N060183,Epilfarmo 30mg Blister x 10 Tabletas Recubiertas (Mirtazapina) (RG) (Drog),N06
D010064,Nistatina/Oxido de zinc 10.000.000 U.I/20G/100G  Crema Tubo x 60g Colmed (FS),D01
J010459,Aurotaz-P 4 g/0.5 g Polvo para reconstituir Vial Aurobindo (Piperacilina/Tazobactam) (FP),J01
N030170,Topamac 25 mg Frasco x 28 Tabletas (Topiramato) [RG] (Drog),N03
A030180,Domperidona 10 mg Caja x 20 Tabletas Genfar (RG) (FP),A03
BE20146,Corset Jewett (OT) (Drog),BE2
R030160,Seretide 25 mcg/125 mcg Aerosol Cartucho inhalador x 120 Dosis (Salmeterol /Fluticasona ) (FP) [RG],R03
A060087,Izinova 17.5g/3.13g/3.276g Caja x 2 Frascos Sln Oral x 176mL (Na Sulfato/Mg Sulfato/K Sulfato) (Drog,A06
AW30453,Pestañina - Mascara Vogue Efecto Total 6 Negra Pote x 9g (FP),AW3
BE20157,Protesis Pasiva Para Amputación Digital En Silicona Orth (Institucional Drog),BE2
BE10307,Media Gadriente 20-30mmHg Hombre Color Negro Talla S No-varix Ref- 10105612 (Drog),BE1
M010303,Movidol M (Muscular) 220/50mg Blister x 6 Tabletas Recubiertas (Naproxeno/Cafeina)  (FP),M01
A070115,Pedialyte Max 60 Con Zinc COCO Solucion Oral Frasco x 500 mL (Electrolitos orales) (FP),A07
AW40301,Keracnyl Gel Limpiador Cara Y Cuerpo Piel Tendencia A Grasa  Pote x 200mL (FP),AW4
R050117,Noxpirin Plus 500 mg/30 mg/5 mg/10 mg Blisterx 4 Caps (Acetaminof/Cafeina/Cetirizin/Fe)  (FP),R05
AN30085,Toalla Para Secado Corporal Desechable UM Ref - PT31019NE (FS),AN3
N060184,Memantina 10 mg Caja x 28 Tabletas Genfar (RG) (FP),N06
V060342,Casilan Polvo Para Reconstituir Tarro x 225g (Caseinato de calcio/Aminoacidos) (FP),V06
N010060,Versatis 5% Caja x 5 Parches (Lidocaina 700 mg) [RG] (Drog),N01
S010319,Acrylarm 0.2% Gel oftalmico Tubo x 10 g (Acido poliacrilico o Carbomero)(institucional Drog),S01
AW30483,Esmalte Masglo x 13.5mL Color Materialista (FP),AW3
AW30484,Esmalte Masglo x 13.5mL Color Primera Dama (FP),AW3
AW30485,Esmalte Masglo x 13.5mL Color Sofisticada (FP),AW3
AW30486,Esmalte Masglo x 13.5mL Color Solidaria (FP),AW3
AW30487,Esmalte Masglo x 13.5mL Color Brillos Destellos (FP),AW3
AW30488,Esmalte Masglo x 13.5mL Color Talentosa (FP),AW3
M010295,Diclofenaco Sódico 75 mg/3 mL Solución Inyectable I.M/ Infusion I.V Vitalis (Drog),M01
B050215,Cloruro De Sodio 0.9% Bolsa PVC x 100 mL Corpaul (FP),B05
M010282,Diacereina 50mg Caja  x 30 Capsulas Genfar (RG) (FP),M01
AW30477,Esmalte Masglo x 13.5mL Color Amable (FP),AW3
AW30478,Esmalte Masglo x 13.5mL Color Paciente (FP),AW3
AW30479,Esmalte Masglo x 13.5mL Color Confianza (FP),AW3
AW30480,Esmalte Masglo x 13.5mL Color Controladora (FP),AW3
AW30481,Esmalte Masglo x 13.5mL Color Excitante (FP),AW3
J040038,Rifamicina 1% Locion Frasco x 20 mL M.K   (Drog),J04
A120093,Redoxon Total  Frasco x 10 Tabletas Efervecentes (Suplemento Con Vitamina C y D) (Drog),A12
N020229,Adorem 7+ 150 mg/5 mL Solución oral Frasco x 120 mL (Acetaminofen) (Drog),N02
BE10292,Media Antiembolica TVP Hasta La Rodilla Medium-Regular 15-20mmhg Blanca No-varix Ref- 10109753(Drog),BE1
A110183,B-Vit HT 10mg/100mg/100mg/30mg Solucion Inyectable Jeringa Prellenada (Vitamina B12/B6/B1/Lidoc(FP),A11
P010096,HCQS 200mg Caja x 30 Tabletas Recubiertas (Sulfato de Hidroxicloroquina) (FP),P01
J010458,Ipiclav-1g (875mg/125mg) Blister x 2 Tabletas (Amoxicilina/Ácido clavulánico)  (Drog),J01
C070098,Propranolol 40 mg Blister x 10 Tabletas M.K (Drog),C07
S010332,Sophixin DX 0.3%/0.1% Unguento Oftalmico Tubo x 3.5g (Ciprofloxacino/Dexametasona)  (Drog),S01
G040108,Myrbetric 50mg Caja x 30 Tabletas De Liberación Prolongada (Mirabegron) (RG) Drog,G04
A070101,Pedialyte 30 Con Zinc CEREZA Solucion Oral Frasco x 500 mL (Electrolitos orales) (FP),A07
A070102,Pedialyte 30 Con Zinc COCO Solucion Oral Frasco x 500 mL (Electrolitos orales) (FP),A07
A070103,Pedialyte 45 Con Zinc FRESA Solucion Oral Frasco x 500 mL (Electrolitos orales) (FP),A07
A070104,Pedialyte Max 60 Con Zinc UVA Solucion Oral Frasco x 500 mL (Electrolitos orales) (FP),A07
AO10563,Pato Plastico Universal Azul Kamex Ref-6351 (FP),AO1
BA30179,Aposito Compresa Abdominal 5x9 (12.7cmx22.9cm)  Curity Ref- 9190A (Drog),BA3
BE10306,Faja Abdominal 4 Paneles S/M Tecnomed Ref - 559078425041 (Drog),BE1
BE30179,Zapato Para Yeso Ambidiestro Talla S Tecnomed (Drog),BE3
BE30180,Zapato Para Yeso Ambidiestro Talla M Tecnomed (Drog),BE3
BE30181,Zapato Para Yeso Ambidiestro Talla L Tecnomed Ref - 869400075043 (Drog),BE3
BE30182,Zapato Post-Operatorio Ambidiestro Talla M ( #39 ) Tecnomed Ref - 869900075042  (Drog),BE3
AW60979,Talco Mexsana Avena Pote x 150g (FP),AW6
A100101,Tresiba 100 Unidades/mL Solucion Inyectable Lapicero x 3 mL (Insulina DEGLUDEC) [* AR] [RG] (FP),A10
N060176,Efexor XR 37.5 mg Capsula Liberacion Prolongada (Venlafaxina) [RG] (Drog),N06
M010284,Niflamin PL 7.5 mg Caja x 5 Tabletas (Meloxicam) (FP),M01
AW60959,Champu Pantene Control Caida Bambu Pote x 400mL (FP),AW6
D110065,Minofoam 5% Espuma Tópica Frasco x 100g (Minoxidil) (VMR)  (FP),D11
BE20168,Ortesis Tipo Brace ARTICULADO De Tobillo S Ref-850278615040 Tecnomed (Drog),BE2
BE20169,Ortesis Tipo Brace ARTICULADO De Tobillo Talla L Ref-850278615043 Tecnomed (Drog),BE2
BE20170,Ortesis Tipo Brace ARTICULADO De Tobillo Talla M Ref-850278615042 Tecnomed (Drog),BE2
N050166,Risperdal 1 mg/mL Solucion Oral Frasco x 30 mL (Risperidona) [RG] (Drog),N05
AW30489,Esmalte Masglo x 13.5mL Color Fiesta (FP),AW3
AW30490,Esmalte Masglo x 13.5mL Color Malvada (FP),AW3
AW30491,Esmalte Masglo x 13.5mL Color Profesional (FP),AW3
AW30493,Esmalte Masglo x 13.5mL Color Brillo Seda (FP),AW3
AW30494,Esmalte Masglo x 13.5mL Color Intuitiva (FP),AW3
AW70057,Tampones Digitales Kotex SUPER Caja x 12 Unidades (FP),AW7
BE20151,Ortesis Muñeca Universal Ambidiestra kamex Ref-18580N Kamex (Drog),BE2
BE10294,Media Antiembolica TVP Al Muslo Medium-Regular 15-20mmHg Blanca No-varix Ref-10109853 (Drog),BE1
BE10293,Media Antiembolica TVP Al Muslo Small-Regular 15-20mmHg Blanca No-varix Ref- 10109852 (Drog),BE1
AA10105,Aguja #31G x 5mm 5B (3/16´´) MINI Optipen (MORADA) Ref-320147 Penta Point (FS),AA1
AW40296,Eucerin Anti-Pigment (Anti manchas)  Dual Serum Facial Pote x 30mL (FP),AW4
J010449,Cloranfenicol 250 mg Blister x 10 Cápsulas Colmed (FP),J01
AW60974,Removedor  De Esmalte MissKiut  Pote x 250mL (FP),AW6
V030146,Gumivit Bolsa x 42 g (6 Sobres) (Vitamina C) (FP),V03
H030049,Eutirox 25 mcg Tableta (Levotiroxina Sodica) (FP),H03
AA10104,Aguja #32G x 4mm 5B (5/32´´) NANO Optipen (VERDE) Ref-320478 Penta Point (FS),AA1
N080186,Bromazepam 6 mg Tableta Genfar (FP),N08
AW60978,Palmolive Jabon Liquido Corporal Pote x 390mL (FP),AW6
A120092,Bion 3 Caja x 60 Tabletas Recub (Probioticos/Vitaminas/Minerales) (FP),A12
BE20156,Espica Para Pulgar Izquierda Ref 16101 Kamex (Drog),BE2
BE30174,Botin Estabilizador de Tobillo Talla M Ref-3195 (Drog),BE3
BE30175,Botin Estabilizador de Tobillo Talla S Ref: 3193 (Drog),BE3
N020242,Acetaminofen/Codeina 325 mg/30 mg  Blister x 10 Comprimidos Genfar (FP),N02
M010300,Etoricoxib 120 mg Caja x 7 Tabletas Recubiertas Genfar(FP),M01
M010301,Etoricoxib 90 mg  Blister x 7 Tabletas recubiertas Genfar(FP),M01
M010302,Etoricoxib 60 mg  Blister x 7 Tabletas Recubiertas Genfar(FP),M01
AW60971,Cepillo Dental Colgate Extra Clean DURO x Unidad (FP),AW6
AW60972,Cepillo Dental Colgate  Kids 5+ Años (Extra Suave x Unidad  (FS),AW6
AW60973,Cepillo Dental Colgate Triple Acción  (Single) MEDIO x Unidad (FP),AW6
D070122,Betametasona 0.1% Crema Tópica Tubo x 40 g Genfar (FP),D07
AW60980,Toallitas Humedas Desmaquilladoras Pomys Paquete x 28 Unid Todo Tipo De Piel (FP),AW6
N020239,Algimide 325/15mg Caja x 10 Tabletas (Acetaminofen/Codeina) (FP),N02
A110187,Farma D 5000 U.I Frasco x 30 Capsulas Blandas (Vitamina D3)  (FP),A11
N020241,Tramadol/Acetaminofen 37.5/325mg Caja x 10 Capsulas Blandas Colmed (FP),N02
R060146,Fexofenadina 120 mg Caja x 10 Tabletas Recubiertas Colmed(Drog),R06
AS90206,Pila Audifono # 10 Sobre x 6 Unidades Beltone (FP),AS9
BE10313,Media Pantalo Materna Gradiente 20-30 Talla M Beige Ref -10116203 (FP),BE1
AW60984,Neutrogena  Oil Free Clear Wash Gel Limpiador facial Pote x 177mL (FP),AW6
N080193,Clozapina 100 mg Tableta Humax (FP),N08
J010454,Merogram 1 g Polvo Para Reconstituir Vial (Meropenem) [RG] (FP),J01
J010451,Cefradina 500 mg Cápsula Recipe ( Institucional Drog),J01
A110188,Vitamina E 400 Unidades Blister x 10 Capsulas ColmedDrog),A11
AT20086,Guante De Latex No Esteril Caja x 100 Unidades Con Talco Tallla M Alfa Safe (FP),AT2
BE10304,Media Gradiente 15-20mmHg Dama a la Rodilla Vison Talla S No-varix Ref-10105542 (Drog),BE1
D030015,Fitostimoline 15% Crema Tubo x 32 g (Triticum vulgare) (Institucional Drog),D03
C050046,Diosmina Hesperidina 450mg/50mg Blister x 10 Comprimidos Recubiertos Genfar(FP) [RG],C05
AW30469,Nivea Lip Care Blackberry (Mora) (FP),AW3
B030068,Acido Folico 1 mg Tableta Ecar (Institucional Drog),B03
N020246,Sinalgen FORTE 7.5mg/325mg Blister x 10 Tabletas (Hidrocodona/acetaminofen) (FP),N02
N060181,Imipramina Clorhidrato 25mg Blister x 10 Tabletas Recubiertas Humax (FP),N06
BE10309,Media Gradiente Dama 8-15 mmhg a la Rodilla Visone Talla S No-varix Ref-10107242 (Drog),BE1
AW40294,Lubriderm Humectacion Diaria (Piel Normal A Seca) Crema Tamaño Familiar Pote x 946mL (Drog),AW4
AW40295,Crema Corporal Nivea Reafirmate Q10 + Vitamina C Pote x 1000mL (FP),AW4
N050168,Quetiapina 200 mg Caja x 30  Comprimidos Recubiertos Genfar (RG) (FP),N05
AW30508,Anthelios Anti-brillos Gel-Crema  Toque Seco con COLOR Pote x 50mL (FP),AW3
A020194,Milpax NF 500/267/160mg  Suspensión Oral Sachet x 10mL (Alginato sodio/Bicarbonato/Calcio)  (FP),A02
C090181,Exforge  5mg/80mg Caja x 28 Comprimidos (Amlodipino/Valsartan)(FP-RG),C09
B010121,Warfarina Sódica 5 mg Blister x 10 tabletas M.K (AR) (FS),B01
V060349,Nan Optipro 3 Tarro x 800g (FP),V06
AW30509,Xeracalm A.D BALSAMO Relipidante Pote x 200mL (FP),AW3
BE20152,Ortesis Tipo Brace No Articulado De Tobillo Talla S Ref-850078615040 Tecnomed (Drog),BE2
A020193,Ezolium 40mg Frasco x 30 Capsulas (Esomeprazol) (FP),A02
AW70056,Tampones Digitales Kotex MEDIO Caja x 12 Unidades (FP),AW7
V030148,Abrilar EA 575  0.7g/100mL Jarabe Frasco x 100mL (Hedera Helix) (FP),V03
BE20167,Baston Recto Aluminio Corto  (Drog),BE2
BE30183,Talonera No Colapsable Pedifix x Unidad (Institucional Drog),BE3
C080089,Amlodipino 10 mg Caja x 10 Tabletas Genfar (FS),C08
N030161,Epamin XR 100mg Frasco x 100 Capsulas Liberación Prolongada (fenitoina) (AR) (FP),N03
AW40304,Uriage Hyseac Gel Limpiador Pote x 500mL (FP),AW4
S010333,Xalatan 0.005% Solucion oftalmica Frasco gotero x 2.5 mL (Latanoprost) [*-RG] (Drog),S01
N060189,Cuait-D 5/0.5mg Blster x 10 Comprimidos (Amitriptilina/Trifluoperazina)(FP),N06
S010335,Olopat 0.2% Solucion Oftalmica Frasco x 5mL (Olopatadina)(FP),S01
BE20171,Inmovilizador De Dedo En Aluminio (Ferula en V) Talla L Recovery Ref-25408325 (Drog),BE2
AW60975,Champu Savital Anticaspa Menta/Eucalipto Y Sabila Pote x 510mL (FS),AW6
N040045,Zintergia 100 mg Caja x 20 Cápsulas (Amantadina) (FP),N04
AW60988,Corta Uñas masglo x Unidad (FP),AW6
A110191,Centrum Silver MEN + 50 Años  Caja x 60 Tabletas (FP),A11
A110192,Centrum Silver WOMEN + 50 Años  Caja x 30 Tabletas (FP),A11
A110193,Centrum Silver WOMEN + 50 Años  Caja x 60 Tabletas (FP),A11
R010073,Noxpirin SINUS 200mg/20mgBlister x 4 Tabletas Recub (Ibuprofeno/fenilefrina) (FP),R01
S010336,Systane HA 1.5mg/4mg/3mg Solucion Oftalmica Frasco x 10mL (Ac Hiual/poliet/propi (FP),S01
G010048,Gyno-Canesten 2% Crema Vaginal Tubo x 20 g (Clotrimazol) (FP),G01
V060344,Redoxitos Bolsa x 25 Gomitas Masticables (Naranja) (vitamina c/Zinc) (FP),V06
BE10312,Rodillera Elastica Cerrada Rotula Abierta Talla XXL Kamex Ref-18639NM (Drog),BE1
AW60983,Acondicionador Head &Shoulders Hidratacion (Coco) Pote x 300mL (FP),AW6
D080033,Alcohol Antiséptico 70° Solución Tópica Frasco x 700 mL M.K  (FP),D08
N030168,Topamac 100 mg  Frasco x 28 Tabletas (Topiramato) [RG] (Drog),N03
J040040,Rifampicina 300 mg  Capsula Colmed (institucional Drog),J04
AW60938,Crema Para Peinar Pantene Liso Extremo Pote x 300mL (FP),AW6
P020031,Quanox 6 mg/mL (0.6%) Solución Oral  Gotas Frasco x 5mL (Ivermectina)(FP),P02
A070105,Pedialyte 45 Con Zinc MANZANA Solucion Oral Frasco x 500 mL (Electrolitos orales)  (FP),A07
H020113,PrednisoLONA 5 mg Tableta Genfar (Institucional Drog),H02
N020236,Winadeine 325 mg/8 mg Tableta (Acetaminofen/Codeína) (Institucional Drog),N02
C070096,Nebilet 5 mg  Caja x 28 Comprimidos Divisibles (Nebivolol) [RG] (FP),C07
AW60986,Crema Dental Colgate KIDS 1+ Assorted Tubo x 50g (FP),AW6
BE10315,Theraband Libre De Latex Amarillo x 1.5 metros Ref- 22402615 (Drog),BE1
C070094,Metoprolol Tartrato 100mg Blister x 10 Tabletas M.K (RG) (FP),C07
BA40041,Cinta Microporosa Color  PIEL 1/2 in x 5 yd (1.25x450cm) Carreta) Alfasafe Ref- CQM002 (Drog),BA4
BA40043,Cinta Microporosa Color PIEL 1in x 5 yd (2.5x450cm) Carreta) Alfasafe Ref- CQM004 (Drog),BA4
BA40045,Esparadrapo Tela Blanco 1 Pulgada x 5yd (2.5x450cm) Alfasafe Ref- CQT002 (FP),BA4
BA40046,Esparadrapo Tela Blanco 2 Pulgada x 5yd (5x450cm) Alfasafe Ref- CQT004 (FP),BA4
BA40047,Esparadrapo Tela Blanco 3 Pulgada x 5yd (7.5x450cm) Alfasafe Ref- CQT005 (FP),BA4
BA40048,Esparadrapo Tela Blanco 4 Pulgada x 5yd (10x450cm) Alfasafe Ref- CQT006 (FP),BA4
AT20088,Guante De Latex No Esteril Caja x 100 Unidades Con TalcoTalla S Alfa Safe (FP),AT2
AT20089,Guante De Latex No Esteril Caja x 100 Unidades Con Talco Tallla L Alfa Safe (FP),AT2
AW30512,Mascarilla Purificante Asepxia Carbon Detox Caja x 30g (FP),AW3
A110190,Centrum Silver MEN + 50 Años  Caja x 30 Tabletas (FP),A11
AW30473,Teatrical Crema Facial Antiarrugas Pote x 100g (FP),AW3
AW30474,Teatrical Crema Facial Humectante Pote x 100g (FP),AW3
AZ10247,Venda Algodon 3 x 5 NO Esteril Medical Supplies (Drog),AZ1
AZ10248,Venda Algodón 6 x 5 NO Esteril Medical Supplies (FP),AZ1
AZ10249,Venda Gasa 4 x 5 NO Esteril Medical Supplies (Drog),AZ1
AZ10250,Venda Gasa 3 x 5 NO Esteril Medical Supplies (Drog),AZ1
AZ10251,Venda Gasa 5 x 5 NO Esteril Medical Supplies (Drog),AZ1
AZ10252,Venda Algodon 4 x 5 NO Esteril Medical Supplies (Drog),AZ1
AZ10253,Venda Algodón 5 x 5 NO Esteril Medical Supplies (FP),AZ1
AZ10254,Venda Gasa 6 x 5 NO Esteril Medical Supplies (FP),AZ1
H020115,Dexametasona 4 mg/1 mL Solucion Inyectable Ampolla Farmioni (Drog),H02
N050177,Zopiclona 7.5 mg Caja x 10 Tabletas Genfar (FP),N05
AW30511,Agua Termal Avene Pote x 150mL (FP),AW3
AW30464,Base De Maquillaje Vogue Mate Natural GITANO Frasxo x 30g (FP),AW3
AW70052,Tena Mujer Medium Gigapack Paquete x 30 Toallas (FP),AW7
BE20172,Inmovilizador De Dedo En Aluminio (Ferula en V) Talla M Recovery Ref-25408323 (Drog),BE2
A100097,Toujeo 300U/mL (450U/1.5mL )Lapicero Dosficador x 1.5mL (Insulina GLARGina) (* AR-RG) (FP),A10
D070123,Betametasona 0.05% Crema Tópica Tubo x 40g Genfar (FP),D07
B010119,Fraxiparine 40 mg (3800 Unidades) Solucion Inyetable Jeringa Prec (Nadroparina) [AR] (Instituc Drog),B01
AW40306,Lubriderm Reparacion Intensiva Pote x 120mL (FP),AW4
BE20150,Muñequera Doble Ferula Izquierdo Corto Ref 16080 Kamex ( Drog ),BE2
AS10979,Panel Led RD Unv 18w 6000K 100-277v P24338-30,AS1
G040106,Tamsulon DUO 0.5mg/0.4mg Caja x 30 Capsulas Duras (Dutasteride/Tamsulosina) (RG) (Drog),G04
AQ10550,Mueble Mostrador en Madecor Blanco Rh Enchapado en Formica con Puerta Corrediza,AQ1
AO10575,Pato Plastico Para Protesis (Tipo Fractura) Ref-2100-6160 (FP),AO1
V030153,Piascledine 300mg Caja x 30 Capsulas (Insaponificables de persea/glycine) (FP),V03
BE20175,Ortesis Dorsal Con Muñeca En Flexion en Orthoplast (O.T) (Institucional Drog),BE2
R030169,Seretide 25 mcg/250 mcg Evohaler/Inhalador x 120 dosis (Salmeterol/Fluticasona [RG] (FP),R03
AW40308,Isdin Fotoprotector Fusion WATER COLOR MEDIO SPF 50 Pote x 50mL (FP),AW4
AW40309,Avene Solar Fluido Mineral SPF 50+ UVA/UVB Pote x 40mL (FP),AW4
V030150,Mieltertos Día Panela-Naranja Polvo Para Reconstituir Sobre x 15g (FP,V03
V030151,Mieltertos  Noche Panela-Limon Polvo Para Reconstituir Sobre x15g (FP),V03
AZ10256,Membrana Para Liner Icecross (Orth) (Institucional Drog),AZ1
