codigo_medicamento,nombre_medicamento,grupo_medicamento
AW60062,Listerine Control Calculo Zero Alcohol Frasco x 500mL (FS),AW6
AW60063,Listerine Control Calculo (Con Alcohol) Frasco x180mL (FS),AW6
N020045,Neosaldina 300 mg/30 mg/30 mg Gragea (Dipirona/Isometepteno/Cafeina) (Drog),N02
R020005,Noraver Garganta 10mg/1.4mg Blister x 6 Tableta (Benzocaína + Cetilpiridinio cloruro)  (FP),R02
AW60068,Listerine Control Calculo (Con Alcohol) Frasco x 500 mL (FP),AW6
AW60077,K-trix 20% Enjuague Frasco x 180 mL (FS),AW6
AW60083,Listerine Cuidado Total Frescura Intensa Frasco x 500 mL (FS),AW6
AW60086,Clarax 0.2% Solución Oral Frasco x 180 mL (Clorhexidina) (VMR) (Drog),AW6
AW60088,Colgate Plax kids Frasco x 250 mL (FP),AW6
AW60094,Aceite Johnson Frasco x 100 mL (FS),AW6
AN10181,Papel Bond Media Carta Blanco Para Fotocopia de 75 g,AN1
N070010,Verum 8 mg Tableta (Betahistina )(FP),N07
AS50269,Union PVC Presion de 1/2 ,AS5
AN10118,Uña Sacaganchos Metalica,AN1
AN10097,Regla Plastica de 30 cms.,AN1
